Start Parametrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coins Per tap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp per Tap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Capacity Hits,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldown 1hits  sec,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crit multiplier,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chance Crit %,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Avg. Playtime,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taps per second,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit per Hour,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Hours offline,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Playtime (mins),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sessions per day,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
Playtime (sec),900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
Taps per session,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
Taps per day,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
Exp per day,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
Coins from taps,"3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8","3946,8"
Coins from offline bonus,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Profit Coins,"6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8","6946,8"
Cumulative profit coins,"6946,8","13893,6","20840,4","27787,2",34734,"41680,8","48627,6","55574,4","62521,2",69468,"76414,8","83361,6","90308,4","97255,2",104202,"111148,8","118095,6","125042,4","131989,2",138936,"145882,8","152829,6","159776,4","166723,2",173670,"180616,8","187563,6","194510,4","201457,2",208404
Cumulative exp,3900,7800,11700,15600,19500,23400,27300,31200,35100,39000,42900,46800,50700,54600,58500,62400,66300,70200,74100,78000,81900,85800,89700,93600,97500,101400,105300,109200,113100,117000
